text,keywords
"deep learning (dl) has emerged as a powerful tool to make accurate predictions from complex data such as image, text, or video. however, its ability to predict phenotypic values from molecular data is less well studied. here, we describe the theoretical foundations of dl and provide a generic code that can be easily modified to suit specific needs. dl comprises a wide variety of algorithms which depend on numerous hyperparameters. careful optimization of hyperparameter values is critical to avoid overfitting. among the dl architectures currently tested in genomic prediction, convolutional neural networks (cnns) seem more promising than multilayer perceptrons (mlps). a limitation of dl is in interpreting the results. this may not be relevant for genomic prediction in plant or animal breeding but can be critical when deciding the genetic risk to a disease. although dl technologies are not ""plug-and-play"", they are easily implemented using keras and tensorflow public software. to illustrate the principles described here, we implemented a keras-based code in github.","['complex trait genomic prediction', 'using deep learning', 'guide']"
"the ovary is a complex endocrine organ that shows significant structural and functional changes in the female reproductive system over recurrent cycles. there are different types of follicles in the ovarian tissue. the reproductive potential of each individual depends on the numbers of these follicles. however, genetic mutations, toxins, and some specific drugs have an effect on follicles. to determine these effects, it is of great importance to count the follicles. the number of follicles in the ovary is usually counted manually by experts, which is a tedious, time-consuming and intense process. in some cases, the experts count the follicles in a subjective way due to their knowledge. in this study, for the first time, a method has been proposed for automatically counting the follicles of ovarian tissue. our method primarily involves filter-based segmentation applied to whole slide histological images, based on a convolutional neural network (cnn). a new method is also proposed to eliminate the noise that occurs after the segmentation process and to determine the boundaries of the follicles. finally, the follicles whose boundaries are determined are classified. to evaluate its performance, the results of the proposed method were compared with those obtained by two different experts and the results of the faster r-cnn model. the number of follicles obtained by the proposed method was very close to the number of follicles counted by the experts. it was also found that the proposed method was much more successful than the faster r-cnn model.","['whole slide histological images based', 'convolutional neural network', 'ovarian follicles', 'new method', 'automatic counting']"
"cardiovascular disease (cvd) has become one of the most serious diseases that threaten human health. over the past decades, over 150 million humans have died of cvds. hence, timely prediction of cvds is especially important. currently, deep learning algorithm-based cvd diagnosis methods are extensively employed, however, most such algorithms can only utilize one-lead ecgs. hence, the potential information in other-lead ecgs was not utilized. to address this issue, we have developed novel methods for diagnosing arrhythmia. in this work, dl-ccanet and tl-ccanet are proposed to extract abstract discriminating features from dual-lead and three-lead ecgs, respectively. then, the linear support vector machine specializing in high-dimensional features is used as the classifier model. on the mit-bih database, a 95.2% overall accuracy is obtained by detecting 15 types of heartbeats using dl-ccanet. on the incart database, overall accuracies of 94.01% (ii and v1 leads), 93.90% (v1 and v5 leads) and 94.07% (ii and v5 leads) are achieved by detecting seven types of heartbeat using dl-ccanet, while tl-ccanet yields a higher overall accuracy of 95.52% using the above three leads. in addition, all of the above experiments are implemented using noisy ecg data. the proposed methods have potential to be applied in the clinic and mobile devices.","['lead ecg classification using dl', 'novel approach', 'tl', 'multi', 'ccanet']"
"in this brief, heterogeneity and noise in big data are shown to increase the generalization error for a traditional learning regime utilized for deep neural networks (deep nns). to reduce this error, while overcoming the issue of vanishing gradients, a direct error-driven learning (edl) scheme is proposed. first, to reduce the impact of heterogeneity and data noise, the concept of a neighborhood is introduced. using this neighborhood, an approximation of generalization error is obtained and an overall error, comprised of learning and the approximate generalization errors, is defined. a novel nn weight-tuning law is obtained through a layer-wise performance measure enabling the direct use of overall error for learning. additional constraints are introduced into the layer-wise performance measure to guide and improve the learning process in the presence of noisy dimensions. the proposed direct edl scheme effectively addresses the issue of heterogeneity and noise while mitigating vanishing gradients and noisy dimensions. a comprehensive simulation study is presented where the proposed approach is shown to mitigate the vanishing gradient problem while improving generalization by 6%.","['deep neural networks', 'driven learning', 'direct error', 'big data', 'applications']"
"as the most commonly occurring form of mental illness worldwide, depression poses significant health and economic burdens to both the individual and community. different types of depression pose different levels of risk. individuals who suffer from mild forms of depression may recover without any assistance or be effectively managed by primary care or family practitioners. however, other forms of depression are far more severe and require advanced care by certified mental health providers. however, identifying cases of depression that require advanced care may be challenging to primary care providers and health care team members whose skill sets run broad rather than deep.","['statewide health information exchange', 'depression using data extracted', 'machine learning approach', 'advanced care', 'patients', 'need', 'identification']"
"the large pose variations and misalignment errors exhibited by person images significantly increase the difficulty of person re-identification (reid). existing works commonly apply extra operations like pose estimation, part segmentation, etc., to alleviate those issues and improve the robustness of pedestrian representations. while boosting the reid accuracy, those operations introduce considerable computational overheads and make the deep models complex and hard to tune. to chase a more efficient solution, we propose a part-guided representation (pgr) composed of pose invariant feature (pif) and local descriptive feature (ldf), respectively. we call pgr ""part-guided"" because it is trained and supervised by local part cues. specifically, pif approximates a pose invariant representation inferred by pose estimation and pose normalization. ldf focuses on discriminative body parts by approximating a representation learned with body region segmentation. in this way, extra pose extraction is only introduced during the training stage to supervise the learning of pgr, but is not required during the testing stage for feature extraction. extensive comparisons with recent works on five widely used datasets demonstrate the competitive accuracy and efficiency of pgr.","['guided representation learning', 'pose', 'person', 'identification']"
"while convolutional neural network (cnn) has been demonstrating powerful ability to learn hierarchical spatial features from medical images, it is still difficult to apply it directly to resting-state functional mri (rs-fmri) and the derived brain functional networks (bfns). we propose a novel cnn framework to simultaneously learn embedded features from bfns for brain disease diagnosis. since bfns can be built by considering both static and dynamic functional connectivity (fc), we first decompose rs-fmri into multiple static bfns with modified independent component analysis. then, the voxel-wise variability in dynamic fc is used to quantify bfn dynamics. a set of paired 3d images representing static/dynamic bfns can be fed into 3d cnns, from which we can hierarchically and simultaneously learn static/dynamic bfn features. as a result, the dynamic bfn features can complement static bfn features and, at the meantime, different bfns can help each other toward a joint and better classification. we validate our method with a publicly accessible, large cohort of rs-fmri dataset in early-stage mild cognitive impairment (emci) diagnosis, which is one of the most challenging problems to the clinicians. by comparing with a conventional method, our method shows significant diagnostic performance improvement by almost 10%. this result demonstrates the effectiveness of deep learning in preclinical alzheimer's disease diagnosis, based on the complex and high-dimensional voxel-wise spatiotemporal patterns of the resting-state brain functional connectomics. the framework provides a new but intuitive way to fully exploit deeply embedded diagnostic features from rs-fmri for a better-individualized diagnosis of various neurological diseases.","['dynamic brain functional networks', 'early mci detection', 'deep learning', 'static']"
"human genes often, through alternative splicing of pre-messenger rnas, produce multiple mrnas and protein isoforms that may have similar or completely different functions. identification of splice sites is, therefore, crucial to understand the gene structure and variants of mrna and protein isoforms produced by the primary rna transcripts. although many computational methods have been developed to detect the splice sites in humans, this is still substantially a challenging problem and further improvement of the computational model is still foreseeable. accordingly, we developed deepdssr (deep donor splice site recognizer), a novel deep learning based architecture, for predicting human donor splice sites. the proposed method, built upon publicly available and highly imbalanced benchmark dataset, is comparable with the leading deep learning based methods for detecting human donor splice sites. performance evaluation metrics show that deepdssr outperformed the existing deep learning based methods. future work will improve the predictive capabilities of our model, and we will build a model for the prediction of acceptor splice sites.","['human donor splice sites recognition', 'deep learning structure', 'deepdssr']"
"learning to estimate 3d geometry in a single frame and optical flow from consecutive frames by watching unlabeled videos via deep convolutional network has made significant progress recently. current state-of-the-art (sota) methods treat the two tasks independently. one important assumption of the existing depth estimation methods is that the scenes contain no moving object. in this paper, we propose to address the two tasks as a whole, i.e. to jointly understand per-pixel 3d geometry and motion. this eliminates the need of static scene assumption and enforces the inherent geometrical consistency during the learning process, yielding significantly improved results for both tasks. we call our method as ""every pixel counts++"" or ""epc++"". various loss terms are formulated to jointly supervise the learning across geometrical cues and effective adaptive training strategy is proposed to achieve better performance. comprehensive experiments were conducted on datasets with different scenes, including driving scenario (kitti 2012 and kitti 2015 datasets), mixed outdoor/indoor scenes (make3d) and synthetic animation (mpi sintel dataset). performance on the five tasks of depth estimation, optical flow estimation, odometry, moving object segmentation and scene flow estimation shows that our approach outperforms other sota methods, demonstrating the effectiveness of each module of our proposed method.","['every pixel counts ++: joint learning', '3d holistic understanding', 'motion', 'geometry']"
"quasi-static ultrasound elastography is an importance imaging technology to assess the conditions of various diseases through reconstructing the tissue strain from radio frequency data. state-of-the-art strain reconstruction techniques suffer from the inexperienced user unfriendliness, high model bias, and low effectiveness-to-efficiency ratio. the three challenges result from the explicitness characteristic (i.e. explicit formulation of the reconstruction model) in these techniques. for these challenges, we are the first to develop an implicit strain reconstruction framework by a deep neural network architecture. however, the classic neural network methods are unsuitable to the strain reconstruction task because they are difficult to impose any direct influence on the intermediate state of the learning process. this may lead the map learned by the neural network to be biased with the desired map. in order to correct the intermediate state of the learning process, our framework proposes the learning-using-privileged-information (lupi) paradigm with causality in the network. it provides the causal privileged information besides the training examples to help the network learning, while makes these privileged information unavailable at the test stage. this improvement can narrow the search region of the map learned by the network, and thus prompts the network to evolve towards the actual ultrasound elastography process. moreover, in order to ensure the causality in lupi, our framework proposes a physically-based data generation strategy to produce the triplets of privileged information, training examples and labels. this data generation process can approximately describes the actual ultrasound elastography process by the numerical simulation based on the tissue biomechanics and ultrasound physics. it thus can build the causal relationship between the privileged information and training examples/labels. it can also address the medical data insufficiency problem. the performance of our framework has been validated on 100 simulation data, 42 phantom data and 4 real clinical data by comparing with the ground truth performed by an ultrasound simulation system and four state-of-the-art methods. the experimental results show that our framework is well agreed (average bias is 0.065 for strain reconstruction) with the ground truth, as well as superior to these state-of-the-art methods. these results can demonstrate the effectiveness of our framework in the strain reconstruction.","['ultrasound elastography using privileged information', 'implicit strain reconstruction', 'learning']"
"lab-on-a-disc (lod) has emerged as a promising candidate for a point-of-care testing (poct) device because it can effectively integrate complex fluid manipulation steps using multiple layers of polymeric substrates. however, it is still highly challenging to design and fabricate temperature measurement and heating system in non-contact with the surface of lod, which is a prerequisite to successful realization of dna amplification especially with a rotatable disc. this study presents a lab-on-a-disc (lod)-based automatic loop-mediated isothermal amplification (lamp) system, where a thermochromic coating (<~420 µm) was used to distantly measure the chamber's temperature and a micro graphite film was integrated into the chamber to remotely absorb laser beam with super high efficiency. we used a deep learning network to more consistently analyze the product of lamp than we could with the naked eye. consequently, both temperature heating and measurement were carried out without a physical contact with the surface of lod. the experimental results show that the proposed approach, which no previous work has attempted, was highly effective in realizing lamp in lod.","['optical temperature control unit', 'mediated isothermal amplification', 'convolutional neural network', 'disc platform', 'colorimetric detection', 'loop', 'lab']"
"unscheduled 30-day readmissions are a hallmark of congestive heart failure (chf) patients that pose significant health risks and escalate care cost. in order to reduce readmissions and curb the cost of care, it is important to initiate targeted intervention programs for patients at risk of readmission. this requires identifying high-risk patients at the time of discharge from hospital. here, using real data from over 7500 chf patients hospitalized between 2012 and 2016 in sweden, we built and tested a deep learning framework to predict 30-day unscheduled readmission. we present a cost-sensitive formulation of long short-term memory (lstm) neural network using expert features and contextual embedding of clinical concepts. this study targets key elements of an electronic health record (ehr) driven prediction model in a single framework: using both expert and machine derived features, incorporating sequential patterns and addressing the class imbalance problem. we evaluate the contribution of each element towards prediction performance (roc-auc, f1-measure) and cost-savings. we show that the model with all key elements achieves higher discrimination ability (auc: 0.77; f1: 0.51; cost: 22% of maximum possible savings) outperforming the reduced models in at least two evaluation metrics. additionally, we present a simple financial analysis to estimate annual savings if targeted interventions are offered to high risk patients.","['readmission prediction using deep learning', 'electronic health records']"
"research on driver status recognition has been actively conducted to reduce fatal crashes caused by the driver's distraction and drowsiness. as in many other research areas, deep-learning-based algorithms are showing excellent performance for driver status recognition. however, despite decades of research in the driver status recognition area, the visual image-based driver monitoring system has not been widely used in the automobile industry. this is because the system requires high-performance processors, as well as has a hierarchical structure in which each procedure is affected by an inaccuracy from the previous procedure. to avoid using a hierarchical structure, we propose a method using mobilenets without the functions of face detection and tracking and show this method is enabled to recognize facial behaviors that indicate the driver's distraction. however, frames per second processed by mobilenets with a raspberry pi, one of the single-board computers, is not enough to recognize the driver status. to alleviate this problem, we propose a lightweight driver monitoring system using a resource sharing device in a vehicle (e.g., a driver's mobile phone). the proposed system is based on multi-task mobilenets (mt-mobilenets), which consists of the mobilenets' base and multi-task classifier. the three softmax regressions of the multi-task classifier help one mobilenets base recognize facial behaviors related to the driver status, such as distraction, fatigue, and drowsiness. the proposed system based on mt-mobilenets improved the accuracy of the driver status recognition with raspberry pi by using one additional device.","['lightweight driver monitoring system based', 'task mobilenets', 'multi']"
"enhancers are short deoxyribonucleic acid fragments that assume an important part in the genetic process of gene expression. due to their possibly distant location relative to the gene that is acted upon, the identification of enhancers is difficult. there are many published works focused on identifying enhancers based on their sequence information, however, the resulting performance still requires improvements. using deep learning methods, this study proposes a model ensemble of classifiers for predicting enhancers based on deep recurrent neural networks. the input features of deep ensemble networks were generated from six types of dinucleotide physicochemical properties, which had outperformed the other features. in summary, our model which used this ensemble approach could identify enhancers with achieved sensitivity of 75.5%, specificity of 76%, accuracy of 75.5%, and mcc of 0.51. for classifying enhancers into strong or weak sequences, our model reached sensitivity of 83.15%, specificity of 45.61%, accuracy of 68.49%, and mcc of 0.312. compared to the benchmark result, our results had higher performance in term of most measurement metrics. the results showed that deep model ensembles hold the potential for improving on the best results achieved to date using shallow machine learning methods.","['identifying enhancers via dinucleotide physicochemical properties', 'deep recurrent neural networks', 'ensemble']"
"ncrna-protein interactions (ncrpis) play an important role in a number of cellular processes, such as post-transcriptional modification, transcriptional regulation, disease progression and development. since experimental methods are expensive and time-consuming to identify the ncrpis, we proposed a computational method, deep mining ncrna-protein interactions (dm-rpis), for identifying the ncrpis. in order to descending dimension and excavating hidden information from k-mer frequency of rna and protein sequences, using the deep stacking auto-encoders networks (dsans) model refined the raw data. three common machine learning algorithms, support vector machine (svm), random forest (rf), and convolution neural network (cnn), were separately trained as individual predictors and then the three individual predictors were integrated together using stacked ensembling strategy. based on the rpi2241 dataset, dm-rpi obtains an accuracy of 0.851, precision of 0.852, sensitivity of 0.873, specificity of 0.826, and mcc of 0.701, which is promising and pioneering for the prediction of ncrpis.","['protein interactions using stacked ensembling strategy', 'predicting ncrna', 'rpis', 'dm']"
"automated polyp detection in colonoscopy videos has been demonstrated to be a promising way for colorectal cancer prevention and diagnosis. traditional manual screening is time consuming, operator dependent, and error prone; hence, automated detection approach is highly demanded in clinical practice. however, automated polyp detection is very challenging due to high intraclass variations in polyp size, color, shape, and texture, and low interclass variations between polyps and hard mimics. in this paper, we propose a novel offline and online three-dimensional (3-d) deep learning integration framework by leveraging the 3-d fully convolutional network (3d-fcn) to tackle this challenging problem. compared with the previous methods employing hand-crafted features or 2-d convolutional neural network, the 3d-fcn is capable of learning more representative spatio-temporal features from colonoscopy videos, and hence has more powerful discrimination capability. more importantly, we propose a novel online learning scheme to deal with the problem of limited training data by harnessing the specific information of an input video in the learning process. we integrate offline and online learning to effectively reduce the number of false positives generated by the offline network and further improve the detection performance. extensive experiments on the dataset of miccai 2015 challenge on polyp detection demonstrated the better performance of our method when compared with other competitors.","['dimensional deep learning', 'automated polyp detection', 'offline three', 'integrating online', 'colonoscopy videos']"
"data center (dc) plays an important role to support services, such as e-commerce and cloud computing. the resulting energy consumption from this growing market has drawn significant attention, and noticeably almost half of the energy cost is used to cool the dc to a particular temperature. it is thus an critical operational challenge to curb the cooling energy cost without sacrificing the thermal safety of a dc. the existing solutions typically follow a two-step approach, in which the system is first modeled based on expert knowledge and, thus, the operational actions are determined with heuristics and/or best practices. these approaches are often hard to generalize and might result in suboptimal performances due to intrinsic model errors for large-scale systems. in this paper, we propose optimizing the dc cooling control via the emerging deep reinforcement learning (drl) framework. compared to the existing approaches, our solution lends itself an end-to-end cooling control algorithm (cca) via an off-policy offline version of the deep deterministic policy gradient (ddpg) algorithm, in which an evaluation network is trained to predict the dc energy cost along with resulting cooling effects, and a policy network is trained to gauge optimized control settings. moreover, we introduce a de-underestimation (due) validation mechanism for the critic network to reduce the potential underestimation of the risk caused by neural approximation. our proposed algorithm is evaluated on an energyplus simulation platform and on a real data trace collected from the national super computing centre (nscc) of singapore. the resulting numerical results show that the proposed cca can achieve up to 11% cooling cost reduction on the simulation platform compared with a manually configured baseline control algorithm. in the trace-based study of conservative nature, the proposed algorithm can achieve about 15% cooling energy savings on the nscc data trace. our pioneering approach can shed new light on the application of drl to optimize and automate dc operations and management, potentially revolutionizing digital infrastructure management with intelligence.","['green data center via deep reinforcement learning', 'transforming cooling optimization']"
deep learning implemented in a collaborative cloud-based platform empowers ophthalmologists in the diagnosis of congenital cataracts.,"['rare disease', 'cybernetic eye']"
"the number of panicles per unit area is a common indicator of rice yield and is of great significance to yield estimation, breeding, and phenotype analysis. traditional counting methods have various drawbacks, such as long delay times and high subjectivity, and they are easily perturbed by noise. to improve the accuracy of rice detection and counting in the field, we developed and implemented a panicle detection and counting system that is based on improved region-based fully convolutional networks, and we use the system to automate rice-phenotype measurements. the field experiments were conducted in target areas to train and test the system and used a rotor light unmanned aerial vehicle equipped with a high-definition rgb camera to collect images. the trained model achieved a precision of 0.868 on a held-out test set, which demonstrates the feasibility of this approach. the algorithm can deal with the irregular edge of the rice panicle, the significantly different appearance between the different varieties and growing periods, the interference due to color overlapping between panicle and leaves, and the variations in illumination intensity and shading effects in the field. the result is more accurate and efficient recognition of rice-panicles, which facilitates rice breeding. overall, the approach of training deep learning models on increasingly large and publicly available image datasets presents a clear path toward smartphone-assisted crop disease diagnosis on a global scale.","['unmanned aerial vehicle platform', 'applying deep learning model', 'rice panicle', 'automated counting', 'images']"
[this corrects the article doi: 10.1038/s41746-019-0099-8,"['deep learning versus human graders', 'classifying diabetic retinopathy severity', 'nationwide screening program', 'author correction', 'erratum']"
"promoter region of protein-coding genes are gradually being well understood, yet no comparable studies exist for the promoter of long non-coding rna (lncrna) genes which has emerged as a global potential regulator in multiple cellular process and different diseases for human. to understand the difference in the transcriptional regulation pattern of these genes, previously, we proposed a machine learning based model to classify the promoter of protein-coding genes and lncrna genes. in this study, we are presenting deepcnpp (deep coding non-coding promoter predictor), an improved model based on deep learning (dl) framework to classify the promoter of lncrna genes and protein-coding genes. we used convolution neural network (cnn) based deep network to classify the promoter of these two broad categories of human genes. our computational model, built upon the sequence information only, was able to classify these two groups of promoters from human at a rate of 83.34% accuracy and outperformed the existing model. further analysis and interpretation of the output from deepcnpp architecture will enable us to understand the difference in transcription regulatory pattern for these two groups of genes.","['human long non', 'deep learning architecture', 'coding rna genes', 'coding genes', 'protein', 'promoter', 'distinguish', 'deepcnpp']"
"this paper addresses the task of nuclei segmentation in high-resolution histopathology images. we propose an automatic end-to-end deep neural network algorithm for segmentation of individual nuclei. a nucleus-boundary model is introduced to predict nuclei and their boundaries simultaneously using a fully convolutional neural network. given a color-normalized image, the model directly outputs an estimated nuclei map and a boundary map. a simple, fast, and parameter-free post-processing procedure is performed on the estimated nuclei map to produce the final segmented nuclei. an overlapped patch extraction and assembling method is also designed for seamless prediction of nuclei in large whole-slide images. we also show the effectiveness of data augmentation methods for nuclei segmentation task. our experiments showed our method outperforms prior state-of-the-art methods. moreover, it is efficient that one 1000×1000 image can be segmented in less than 5 s. this makes it possible to precisely segment the whole-slide image in acceptable time. the source code is available at https://github.com/easycui/nuclei_segmentation . graphical abstract the neural network for nuclei segmentation.","['step contour aware nuclei segmentation', 'deep learning algorithm', 'histopathology images', 'one']"
"a biochemical reaction, bio-event, depicts the relationships between participating entities. current text mining research has been focusing on identifying bio-events from scientific literature. however, rare efforts have been dedicated to normalize bio-events extracted from scientific literature with the entries in the curated reaction databases, which could disambiguate the events and further support interconnecting events into biologically meaningful and complete networks.","['based event normalization', 'reaction databases', 'deep learning', 'curation', 'bionorm']"
"recently, effort has been made to apply deep learning to the detection of mesh saliency. however, one major barrier is to collect a large amount of vertex-level annotation as saliency ground truth for training the neural networks. quite a few pilot studies showed that this task is quite difficult. in this work, we solve this problem by developing a novel network trained in a weakly supervised manner. the training is end-to-end and does not require any saliency ground truth but only the class membership of meshes. our classification-for-saliency cnn (cfs-cnn) employs a multi-view setup and contains a newly designed two-channel structure which integrates view-based features of both classification and saliency. it essentially transfers knowledge from 3d object classification to mesh saliency. our approach significantly outperforms the existing state-of-the-art methods according to extensive experimental results. also, the cfs-cnn can be directly used for scene saliency. we showcase two novel applications based on scene saliency to demonstrate its utility.","['mesh saliency via weakly supervised classification', 'saliency cnn']"
